Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Periodo
2022,4,1,6,3,573,Oct-Dic 2022
2022,3,1,6,3,557,Jul-Sept 2022
2022,2,1,6,3,556,Abr-Jun 2022
2022,1,2,6,2,546,Ene-Mar 2022
2021,4,2,6,2,523,Oct-Dic 2021
2021,3,2,6,2,492,Jul-Sept 2021
2021,2,2,6,1,477,Abr-Jun 2021
2021,1,2,5,1,435,Ene-Mar 2021
2020,4,2,5,1,422,Oct-Dic 2020
2020,3,2,5,1,413,Jul-Sept 2020
2020,2,2,5,1,377,Abr-Jun 2020
2020,1,2,5,1,352,Ene-Mar 2020
2019,4,2,5,941,340,Oct-Dic 2019
2019,3,3,5,852,338,Jul-Sept 2019
2019,2,3,5,761,308,Abr-Jun 2019
2019,1,3,4,637,276,Ene-Mar 2019
2018,4,3,4,388,264,Oct-Dic 2018
2018,3,4,4,247,246,Jul-Sept 2018
2018,2,4,4,226,194,Abr-Jun 2018
2018,1,4,4,217,165,Ene-Mar 2018
2017,4,4,4,211,156,Oct-Dic 2017
2017,3,4,4,194,106,Jul-Sept 2017
2017,2,4,3,181,86,Abr-Jun 2017
2017,1,4,3,180,85,Ene-Mar 2017
2016,4,4,3,178,85,Oct-Dic 2016
2016,3,4,3,170,81,Jul-Sept 2016
2016,2,4,3,168,85,Abr-Jun 2016
2016,1,4,3,164,85,Ene-Mar 2016
2015,4,4,3,139,86,Oct-Dic 2015
2015,3,4,3,163,85,Jul-Sept 2015
2015,2,4,3,151,82,Abr-Jun 2015
2015,1,4,3,168,79,Ene-Mar 2015
2014,4,4,3,150,77,Oct-Dic 2014
2014,3,4,3,155,85,Jul-Sept 2014
2014,2,4,2,149,72,Abr-Jun 2014
2014,1,4,2,150,71,Ene-Mar 2014
