Año,Trimestre,Provincia,AccesoactualTel
2014,1,Buenos Aires,8.526
2014,1,Capital Federal,12.857
2014,1,Catamarca,3.945
2014,1,Chaco,3.402
2014,1,Chubut,5.759
2014,1,Córdoba,6.888
2014,1,Corrientes,3.688
2014,1,Entre Ríos,5.733
2014,1,Formosa,2.898
2014,1,Jujuy,3.056
2014,1,La Pampa,6.452
2014,1,La Rioja,4.124
2014,1,Mendoza,6.184
2014,1,Misiones,3.485
2014,1,Neuquén,5.129
2014,1,Río Negro,5.751
2014,1,Salta,4.444
2014,1,San Juan,4.989
2014,1,San Luis,3.817
2014,1,Santa Cruz,4.425
2014,1,Santa Fe,7.291
2014,1,Santiago del Estero,3.115
2014,1,Tierra del Fuego,7.498
2014,1,Tucumán,5.439
2014,2,Buenos Aires,8.474
2014,2,Capital Federal,12.768
2014,2,Catamarca,3.938
2014,2,Chaco,3.389
2014,2,Chubut,5.731
2014,2,Córdoba,6.828
2014,2,Corrientes,3.68
2014,2,Entre Ríos,5.725
2014,2,Formosa,2.895
2014,2,Jujuy,3.059
2014,2,La Pampa,6.509
2014,2,La Rioja,4.094
2014,2,Mendoza,6.164
2014,2,Misiones,3.47
2014,2,Neuquén,5.112
2014,2,Río Negro,5.728
2014,2,Salta,4.437
2014,2,San Juan,4.973
2014,2,San Luis,3.803
2014,2,Santa Cruz,4.404
2014,2,Santa Fe,7.251
2014,2,Santiago del Estero,3.102
2014,2,Tierra del Fuego,7.444
2014,2,Tucumán,5.447
2014,3,Buenos Aires,8.485
2014,3,Capital Federal,12.735
2014,3,Catamarca,3.939
2014,3,Chaco,3.497
2014,3,Chubut,5.732
2014,3,Córdoba,6.773
2014,3,Corrientes,3.774
2014,3,Entre Ríos,5.884
2014,3,Formosa,2.892
2014,3,Jujuy,3.059
2014,3,La Pampa,6.433
2014,3,La Rioja,4.069
2014,3,Mendoza,6.144
2014,3,Misiones,3.493
2014,3,Neuquén,5.092
2014,3,Río Negro,5.713
2014,3,Salta,4.427
2014,3,San Juan,4.991
2014,3,San Luis,3.767
2014,3,Santa Cruz,4.403
2014,3,Santa Fe,7.283
2014,3,Santiago del Estero,3.098
2014,3,Tierra del Fuego,7.408
2014,3,Tucumán,5.456
2014,4,Buenos Aires,8.555
2014,4,Capital Federal,12.729
2014,4,Catamarca,3.927
2014,4,Chaco,3.471
2014,4,Chubut,5.792
2014,4,Córdoba,6.743
2014,4,Corrientes,3.755
2014,4,Entre Ríos,5.856
2014,4,Formosa,2.873
2014,4,Jujuy,3.055
2014,4,La Pampa,6.499
2014,4,La Rioja,4.033
2014,4,Mendoza,6.268
2014,4,Misiones,3.475
2014,4,Neuquén,5.134
2014,4,Río Negro,5.787
2014,4,Salta,4.408
2014,4,San Juan,5.088
2014,4,San Luis,3.788
2014,4,Santa Cruz,4.426
2014,4,Santa Fe,7.246
2014,4,Santiago del Estero,3.081
2014,4,Tierra del Fuego,7.405
2014,4,Tucumán,5.439
2015,1,Buenos Aires,9.161
2015,1,Capital Federal,12.808
2015,1,Catamarca,3.889
2015,1,Chaco,3.424
2015,1,Chubut,6.038
2015,1,Córdoba,6.699
2015,1,Corrientes,3.863
2015,1,Entre Ríos,5.836
2015,1,Formosa,2.848
2015,1,Jujuy,3.045
2015,1,La Pampa,6.821
2015,1,La Rioja,3.992
2015,1,Mendoza,6.469
2015,1,Misiones,3.425
2015,1,Neuquén,5.235
2015,1,Río Negro,5.952
2015,1,Salta,4.384
2015,1,San Juan,5.244
2015,1,San Luis,3.834
2015,1,Santa Cruz,6.105
2015,1,Santa Fe,7.194
2015,1,Santiago del Estero,3.054
2015,1,Tierra del Fuego,7.468
2015,1,Tucumán,5.402
